,Name,Location,Cuisine,Rating,Seating Capacity,Average Meal Price,Marketing Budget,Social Media Followers,Chef Experience Years,Number of Reviews,Avg Review Length,Ambience Score,Service Quality Score,Parking Availability,Weekend Reservations,Weekday Reservations,Revenue
5071,Restaurant 5071,Rural,French,4.5,33,65.67,1220,15161,16,940,112.3273431882009,2.8,10.0,Yes,12,13,503106.89
5072,Restaurant 5072,Rural,Indian,4.0,40,37.26,2870,35233,3,985,146.73422526300436,3.9,8.7,No,7,34,345261.91
5073,Restaurant 5073,Rural,Mexican,4.2,42,27.17,2959,30249,18,891,239.96883350999096,2.3,5.6,Yes,40,36,281657.53
5074,Restaurant 5074,Suburban,Japanese,3.6,67,73.26,1126,18972,11,83,54.82856202901388,8.0,4.8,Yes,51,25,1100715.34
5075,Restaurant 5075,Suburban,Italian,3.4,59,46.91,889,13772,13,901,65.99082563706803,9.2,2.3,No,50,43,633060.84
5076,Restaurant 5076,Downtown,Japanese,4.1,74,65.7,7192,71476,2,672,264.85579461494166,1.3,4.8,No,16,6,1086935.4
5077,Restaurant 5077,Downtown,French,3.9,70,60.8,1878,25848,3,338,60.73649740846713,8.3,6.4,No,24,38,950969.0
5078,Restaurant 5078,Downtown,American,3.8,83,41.09,7302,77350,1,393,219.62846029978832,3.2,6.4,No,74,78,774545.11
5079,Restaurant 5079,Downtown,Italian,4.3,85,47.08,2167,21614,1,658,129.72648926395868,5.4,6.0,Yes,60,12,892131.16
5080,Restaurant 5080,Rural,Italian,4.4,47,48.83,2240,27509,15,557,256.4729294361773,7.7,8.4,No,33,19,534045.8
5081,Restaurant 5081,Suburban,American,3.1,52,45.4,2190,27264,3,362,261.8365163826568,5.6,5.6,No,44,50,535255.0
5082,Restaurant 5082,Suburban,Italian,3.7,52,48.14,1955,23188,4,711,288.3347770204321,3.1,5.3,Yes,41,33,565494.58
5083,Restaurant 5083,Downtown,American,3.8,73,36.71,4472,50883,12,993,73.88738825937068,9.2,3.8,No,28,3,617758.93
5084,Restaurant 5084,Downtown,Italian,3.2,76,55.92,2481,28757,12,253,155.7117523073374,6.3,2.6,No,11,18,954469.51
5085,Restaurant 5085,Rural,Indian,3.5,42,33.33,3030,33056,14,271,193.48964748883623,9.4,1.0,Yes,39,36,335008.89
5086,Restaurant 5086,Rural,Indian,3.1,38,37.48,2319,25640,11,81,279.0142198974526,8.6,3.9,No,1,30,335242.94
5087,Restaurant 5087,Downtown,Japanese,5.0,72,67.55,9073,100015,6,686,116.62853635827656,8.9,6.7,No,70,42,1106476.25
5088,Restaurant 5088,Suburban,Italian,4.5,66,51.05,1974,22001,14,669,67.90687268178026,4.3,6.0,No,54,63,768398.6
5089,Restaurant 5089,Suburban,Mexican,3.2,64,29.25,2900,35427,2,772,100.44115514852528,9.9,5.8,No,50,61,430730.1
5090,Restaurant 5090,Suburban,American,3.0,59,45.58,1716,22033,3,478,173.89458093879745,8.7,8.0,No,11,1,605467.79
5091,Restaurant 5091,Downtown,Italian,4.4,84,49.76,2332,23189,18,51,220.2627505696976,4.0,3.1,Yes,79,21,946670.41
5092,Restaurant 5092,Suburban,Indian,3.9,50,36.43,2998,37380,8,556,222.66850532807317,9.1,7.1,No,30,16,424162.28
5093,Restaurant 5093,Rural,Indian,4.6,50,40.39,2905,34667,2,511,68.66582677357836,7.8,6.5,No,19,23,460229.73
5094,Restaurant 5094,Rural,American,4.8,39,45.88,3505,43522,16,232,240.3525661406051,7.5,4.1,No,14,11,422705.68
5095,Restaurant 5095,Downtown,Mexican,4.2,76,26.12,3584,40998,14,108,215.0598508048583,1.1,3.0,Yes,13,21,459321.26
5096,Restaurant 5096,Rural,Italian,3.4,36,54.18,1379,19037,19,338,151.88579680333805,1.2,6.1,No,8,19,454964.33
5097,Restaurant 5097,Downtown,Italian,4.6,72,49.2,3271,41290,4,145,192.7715671057424,7.3,9.5,Yes,45,66,800907.8
5098,Restaurant 5098,Suburban,Mexican,4.9,56,31.54,2583,26020,6,554,241.93511157287327,3.5,1.7,No,30,14,403077.82
5099,Restaurant 5099,Suburban,Mexican,4.2,58,29.13,3667,36299,12,811,115.5231870001564,1.5,9.6,Yes,33,42,398681.46
5100,Restaurant 5100,Suburban,Mexican,4.4,57,29.41,3986,39857,10,666,285.008375851029,3.6,5.2,No,42,13,392446.43
5101,Restaurant 5101,Rural,Indian,3.7,32,31.75,2184,28590,9,260,84.44190123675669,8.5,7.4,Yes,18,15,245727.25
5102,Restaurant 5102,Downtown,American,3.8,74,41.3,5141,54737,3,831,275.5557029258901,5.2,8.2,No,35,73,695578.55
5103,Restaurant 5103,Suburban,Mexican,4.5,62,31.01,3548,36537,1,507,235.21448903027544,6.5,2.4,No,27,19,436093.09
5104,Restaurant 5104,Downtown,American,4.9,82,37.08,2462,31309,14,620,215.12965483229848,8.2,1.4,Yes,0,22,691996.85
5105,Restaurant 5105,Suburban,Japanese,4.3,57,70.96,1922,23120,8,832,70.72699931466951,3.9,2.2,Yes,24,53,908010.6
5106,Restaurant 5106,Rural,Italian,4.6,47,55.7,1029,17945,18,976,279.7511518889221,1.1,4.1,Yes,14,8,599538.25
5107,Restaurant 5107,Rural,Italian,3.3,36,52.86,913,8102,12,78,123.83258763509863,3.9,9.6,Yes,18,9,438856.06
5108,Restaurant 5108,Downtown,French,3.4,79,60.29,1536,16614,12,252,236.40305157804275,9.6,1.4,No,33,52,1069340.64
5109,Restaurant 5109,Rural,Japanese,4.1,39,75.08,1986,20538,10,161,271.20035317249085,5.3,9.3,Yes,36,2,665739.22
5110,Restaurant 5110,Rural,Mexican,3.4,40,31.33,1495,14782,4,414,111.0708733505074,6.1,6.1,Yes,17,11,289237.64
5111,Restaurant 5111,Downtown,Mexican,4.3,81,26.49,8240,87221,5,172,278.65019272066235,7.8,1.9,Yes,53,19,498728.44
5112,Restaurant 5112,Suburban,Indian,3.6,62,36.02,2290,29732,8,762,202.98541214850692,2.0,2.4,No,47,24,508282.58
5113,Restaurant 5113,Rural,Japanese,4.6,37,66.99,2897,33049,19,352,214.7579455743753,7.6,7.2,Yes,5,24,577864.63
5114,Restaurant 5114,Downtown,Mexican,4.6,86,33.44,4077,43303,6,746,278.6282216110727,3.7,6.5,No,10,27,651918.89
5115,Restaurant 5115,Rural,French,3.9,43,65.64,2732,27534,16,619,181.6837304882268,4.5,2.5,No,36,15,647692.22
5116,Restaurant 5116,Rural,American,3.4,46,38.97,2810,28315,9,910,160.16188940389438,3.4,9.1,No,23,39,417700.67
5117,Restaurant 5117,Rural,Italian,4.3,48,49.78,1685,20428,11,304,208.30794189387208,2.4,2.2,No,4,20,541938.98
5118,Restaurant 5118,Rural,Japanese,5.0,45,69.64,3948,46387,3,278,188.50587926462623,4.3,5.6,No,8,6,704024.51
5119,Restaurant 5119,Downtown,Italian,4.2,78,48.14,2155,22645,14,390,65.36892811183208,1.9,5.8,Yes,29,75,850328.79
5120,Restaurant 5120,Downtown,American,3.1,89,43.74,4920,48363,5,976,95.12301173287898,8.6,8.8,Yes,74,81,884766.19
5121,Restaurant 5121,Downtown,Japanese,3.0,79,71.8,3661,40014,6,614,53.39161973075344,3.8,1.2,No,75,10,1265535.0
5122,Restaurant 5122,Rural,American,3.6,38,35.7,1344,20369,1,391,77.04070987452117,6.9,2.2,Yes,19,31,308246.85
5123,Restaurant 5123,Rural,Mexican,3.4,30,34.23,2422,31146,13,881,232.46241494439604,3.7,2.5,No,0,26,248833.38
5124,Restaurant 5124,Rural,Mexican,4.6,32,27.06,3109,36283,9,805,51.17779045133734,2.9,1.6,Yes,28,24,210381.25
5125,Restaurant 5125,Downtown,Mexican,4.7,80,35.77,5123,53606,3,387,126.10137865194172,7.4,6.7,No,31,46,650633.49
5126,Restaurant 5126,Rural,American,3.5,36,39.14,1011,16702,6,307,162.33035109465123,6.6,3.1,No,15,32,324234.94
5127,Restaurant 5127,Suburban,American,3.7,67,41.78,2503,33555,8,109,284.4530622746979,3.0,6.2,No,40,17,633669.65
5128,Restaurant 5128,Rural,American,3.5,42,35.86,3177,35535,4,278,131.75175444747902,6.5,8.0,Yes,9,21,349264.33
5129,Restaurant 5129,Suburban,Italian,4.8,67,48.79,3560,45125,6,389,245.7826907770768,1.0,4.7,No,8,5,733754.19
5130,Restaurant 5130,Rural,American,4.0,45,43.83,2668,26788,12,481,152.19139488814875,2.6,7.9,No,20,21,457295.08
5131,Restaurant 5131,Downtown,Mexican,4.3,85,30.25,2610,26986,12,865,74.62284502035337,7.5,8.0,Yes,34,5,591027.8
5132,Restaurant 5132,Rural,French,3.8,50,64.95,3073,37304,7,167,74.7109369992323,4.7,3.4,Yes,32,14,732048.9
5133,Restaurant 5133,Suburban,American,4.3,59,41.33,3590,39061,16,949,158.10845499562947,2.8,1.1,No,49,37,564765.36
5134,Restaurant 5134,Suburban,French,3.8,58,65.21,3567,39598,7,75,64.47078287904519,5.6,1.9,Yes,52,29,851809.83
5135,Restaurant 5135,Rural,Mexican,3.7,37,35.81,1692,20574,3,389,192.9048103153237,5.2,8.4,No,27,29,306318.49
5136,Restaurant 5136,Suburban,American,4.3,68,39.99,2114,21552,13,711,173.41243384171958,6.7,4.6,Yes,26,45,622690.97
5137,Restaurant 5137,Suburban,Italian,4.2,52,51.22,2705,27362,9,220,225.63379642404465,1.7,8.6,No,18,45,606535.82
5138,Restaurant 5138,Downtown,Italian,3.6,78,54.18,2614,27629,11,302,96.40538235245722,8.4,5.9,Yes,44,16,952810.01
5139,Restaurant 5139,Rural,French,3.3,31,57.44,2223,20879,7,581,198.2323134317089,1.5,2.8,Yes,22,28,407522.61
5140,Restaurant 5140,Rural,Indian,3.7,48,39.48,3542,38082,15,398,93.63061908636352,5.1,7.4,Yes,25,10,445658.66
5141,Restaurant 5141,Rural,Italian,3.8,37,51.51,3128,32003,1,353,230.5584283681623,7.4,6.0,Yes,9,19,433525.96
5142,Restaurant 5142,Suburban,Italian,4.3,67,52.98,2209,29449,2,426,126.7896645624266,4.1,4.2,No,24,7,790805.87
5143,Restaurant 5143,Rural,Italian,4.8,37,45.88,3128,39045,1,400,203.604050674762,9.2,1.8,Yes,0,16,386443.97
5144,Restaurant 5144,Rural,Mexican,3.1,34,33.43,2451,29938,15,622,270.66931501736417,7.8,1.9,Yes,27,11,276457.52
5145,Restaurant 5145,Downtown,Italian,3.5,75,48.42,4782,46362,4,200,172.05853154540597,4.8,2.7,No,67,26,817442.66
5146,Restaurant 5146,Downtown,Japanese,3.4,79,73.86,4428,48557,4,797,98.07302748231496,2.7,7.1,Yes,53,57,1305540.31
5147,Restaurant 5147,Downtown,American,4.0,84,40.6,1810,23074,14,878,271.5307252299817,1.4,7.6,Yes,34,50,774412.7
5148,Restaurant 5148,Suburban,Italian,3.9,53,48.02,2611,25861,5,279,139.6448875579134,8.2,6.7,No,3,46,577938.67
5149,Restaurant 5149,Rural,Indian,4.5,32,40.48,2231,23096,1,385,232.56321883677504,2.7,4.0,No,10,24,294681.46
5150,Restaurant 5150,Downtown,Indian,3.5,78,38.42,6575,68029,15,752,130.02391963230087,3.4,5.0,No,68,49,694753.53
5151,Restaurant 5151,Downtown,Italian,4.2,85,55.84,5207,57276,7,324,124.55386066271916,1.1,7.4,No,46,30,1066277.74
5152,Restaurant 5152,Downtown,Italian,4.8,85,49.01,6799,71480,16,764,210.50706482843896,1.2,6.9,No,67,28,952327.6
5153,Restaurant 5153,Rural,Japanese,4.8,44,72.14,1171,12558,14,253,89.07785880149194,3.1,8.0,Yes,18,30,721044.16
5154,Restaurant 5154,Rural,Italian,4.9,38,51.73,1306,15575,15,277,266.7434677119791,8.9,3.2,No,27,23,457425.31
5155,Restaurant 5155,Rural,Italian,4.5,46,52.56,1275,12762,15,318,146.90599665646317,8.0,1.0,No,22,3,553490.04
5156,Restaurant 5156,Suburban,American,4.8,70,35.42,2231,28223,1,947,54.8193589921251,7.9,3.4,Yes,65,22,559371.79
5157,Restaurant 5157,Suburban,Indian,3.5,61,33.21,2577,24452,19,228,126.35911840264184,8.4,4.1,Yes,27,7,475575.63
5158,Restaurant 5158,Downtown,Japanese,3.4,77,75.0,5171,52211,7,892,246.2415811498755,2.7,9.6,Yes,10,12,1291676.05
5159,Restaurant 5159,Rural,Indian,3.0,43,34.66,1176,19056,18,306,264.83971383369646,9.8,3.0,No,29,0,355127.16
5160,Restaurant 5160,Downtown,Japanese,4.4,87,75.57,3062,30179,15,730,191.97006923709444,3.1,8.4,Yes,85,62,1479255.95
5161,Restaurant 5161,Rural,Indian,4.9,41,32.35,1406,19528,13,955,123.52732951063616,2.3,6.6,No,40,26,315051.15
5162,Restaurant 5162,Rural,Italian,3.4,43,55.97,2340,30729,19,564,181.9635259229037,3.7,2.5,Yes,16,16,557134.98
5163,Restaurant 5163,Rural,Indian,4.3,49,37.67,3252,34488,18,57,259.09382465792254,5.8,4.6,Yes,23,40,436526.38
5164,Restaurant 5164,Suburban,Indian,4.5,54,38.54,938,12260,4,385,129.0094574320632,2.1,5.6,No,37,8,468148.34
5165,Restaurant 5165,Suburban,Japanese,4.9,50,69.37,3192,34935,18,981,146.35924339899748,7.6,4.1,No,35,26,796179.82
5166,Restaurant 5166,Rural,French,4.3,42,64.98,2470,32392,4,668,184.92353324751107,4.3,3.0,Yes,21,25,614985.72
5167,Restaurant 5167,Downtown,Japanese,4.9,83,71.0,2906,30267,16,89,271.78454891766535,6.1,3.3,Yes,76,20,1324133.35
5168,Restaurant 5168,Rural,Japanese,3.7,31,72.49,747,11729,14,984,195.53723345786625,7.6,6.3,No,25,10,519296.71
5169,Restaurant 5169,Rural,Japanese,3.7,45,66.04,899,12496,14,480,101.9037888466633,9.1,7.2,No,40,3,678747.22
5170,Restaurant 5170,Downtown,Mexican,4.1,74,31.95,4293,51991,7,936,72.2760094953525,8.4,5.2,No,52,13,544569.5
5171,Restaurant 5171,Rural,Mexican,3.8,30,34.67,930,11355,13,749,73.75348923196646,5.8,9.5,Yes,4,9,252343.36
5172,Restaurant 5172,Downtown,Mexican,3.0,81,26.96,4714,47734,14,825,287.5623934466618,9.9,7.6,Yes,16,58,514096.18
5173,Restaurant 5173,Suburban,Japanese,4.5,68,73.11,2042,21152,10,379,255.60311882788852,5.8,9.0,No,43,61,1118636.16
5174,Restaurant 5174,Suburban,French,4.5,59,55.28,3334,37807,13,292,241.46367253139752,5.8,5.3,No,47,3,743062.23
5175,Restaurant 5175,Downtown,Japanese,4.5,81,75.19,8883,97096,6,214,174.09114479251167,2.4,1.1,Yes,44,58,1367822.09
5176,Restaurant 5176,Suburban,Italian,3.7,68,55.81,1311,11891,11,529,218.13490431939684,2.3,6.3,No,7,33,852273.97
5177,Restaurant 5177,Suburban,French,4.0,65,58.9,2258,30034,6,332,81.8325761356185,2.5,8.4,Yes,63,4,859390.5
5178,Restaurant 5178,Downtown,Mexican,3.7,86,26.18,4522,52397,11,144,205.22392891998663,6.3,5.8,Yes,11,31,520914.53
5179,Restaurant 5179,Suburban,Indian,3.0,62,37.24,2559,31804,19,180,252.6951831446949,4.7,6.1,Yes,48,15,538179.54
5180,Restaurant 5180,Rural,Indian,4.1,36,30.33,1666,19305,17,984,65.53468505906294,4.5,9.8,No,25,27,270281.13
5181,Restaurant 5181,Rural,American,3.2,32,40.31,2279,27436,3,823,124.03760557731933,2.1,4.3,No,15,1,295773.74
5182,Restaurant 5182,Downtown,French,3.2,74,57.99,5399,56491,1,258,77.56966834073208,4.4,8.2,No,59,34,963918.06
5183,Restaurant 5183,Suburban,Mexican,4.5,53,30.21,3740,38355,16,571,115.05675901701431,4.4,5.5,Yes,41,7,381717.3
5184,Restaurant 5184,Rural,French,3.0,44,55.2,2568,23774,12,974,243.1309679751513,6.6,5.2,Yes,32,24,559887.1
5185,Restaurant 5185,Rural,French,4.9,46,55.57,1036,12782,14,590,133.0122915719933,4.5,2.3,No,16,22,582696.94
5186,Restaurant 5186,Suburban,Indian,4.0,61,30.18,1587,15006,18,709,222.42096197198796,4.8,7.7,No,4,35,433150.44
5187,Restaurant 5187,Suburban,Japanese,5.0,63,71.81,1850,20537,3,896,243.32563023622876,3.5,8.4,No,3,24,1007245.29
5188,Restaurant 5188,Rural,Italian,3.1,33,51.16,1572,17490,8,627,254.1596726680917,2.2,4.9,Yes,2,16,386690.7
5189,Restaurant 5189,Rural,American,4.2,46,37.56,3939,48127,18,530,268.34386085208814,3.7,7.9,Yes,0,25,412493.29
5190,Restaurant 5190,Downtown,Mexican,3.7,80,32.11,4990,53244,16,573,199.4089530048258,1.4,6.2,Yes,71,36,597096.17
5191,Restaurant 5191,Downtown,French,4.7,75,64.73,3612,38504,15,574,120.15995799990613,2.8,3.3,Yes,18,4,1091155.51
5192,Restaurant 5192,Rural,American,3.7,33,38.05,1742,25311,2,413,87.63963298889584,3.9,9.3,No,25,23,290118.3
5193,Restaurant 5193,Downtown,French,3.5,82,64.15,1722,24936,16,472,175.927163553318,2.3,7.3,Yes,35,73,1184507.7
5194,Restaurant 5194,Rural,Indian,4.7,49,37.29,4380,48957,10,984,75.88930787206093,7.0,8.9,Yes,45,1,430810.18
5195,Restaurant 5195,Rural,Italian,3.7,44,45.37,1456,17426,11,663,277.6809947454253,3.5,3.5,Yes,0,25,457200.87
5196,Restaurant 5196,Downtown,Indian,3.0,87,34.13,5695,59153,19,734,160.62005948574347,6.5,9.2,Yes,80,72,695284.8
5197,Restaurant 5197,Downtown,American,3.8,86,40.59,5570,57145,19,262,268.24603642764725,6.8,4.3,No,37,47,804167.87
5198,Restaurant 5198,Suburban,Mexican,4.3,68,33.05,4141,43806,10,218,227.3175959097409,5.0,1.1,No,13,29,515456.5
5199,Restaurant 5199,Suburban,French,3.5,59,58.16,2937,29703,17,257,264.30439070796365,5.0,1.7,No,44,38,783009.13
5200,Restaurant 5200,Suburban,Italian,3.9,54,55.81,2916,33444,1,908,270.9895223136413,6.2,1.8,Yes,21,52,676945.39
5201,Restaurant 5201,Rural,Indian,3.1,41,37.53,2810,28450,7,476,63.32337460309613,3.4,2.9,No,35,35,356348.47
5202,Restaurant 5202,Downtown,American,4.2,84,39.1,1923,22064,16,623,231.31446195854093,1.2,2.7,No,10,62,745282.5
5203,Restaurant 5203,Rural,Indian,4.5,33,31.07,3856,47750,11,948,106.63692410431814,6.8,1.5,Yes,17,31,251251.75
5204,Restaurant 5204,Downtown,French,3.8,77,57.0,7295,77869,18,570,297.3242264029725,6.5,9.1,No,3,56,1006329.95
5205,Restaurant 5205,Rural,French,3.8,49,60.36,1611,15478,1,989,244.60074353149147,5.3,8.5,Yes,41,7,663688.84
5206,Restaurant 5206,Suburban,Mexican,3.2,66,30.44,2539,28791,2,686,50.94125070080597,8.9,7.9,No,13,60,459221.93
5207,Restaurant 5207,Suburban,Italian,3.4,55,53.44,2241,25835,2,723,281.85408045055084,5.6,5.3,No,13,2,658035.65
5208,Restaurant 5208,Suburban,Japanese,3.3,65,72.99,3019,29782,6,68,123.07647555029428,3.7,4.8,No,46,3,1058992.76
5209,Restaurant 5209,Rural,Indian,4.0,34,32.21,1386,17135,8,535,154.1633999091124,7.4,4.8,Yes,20,24,259358.65
5210,Restaurant 5210,Downtown,French,4.1,83,61.54,7108,78143,14,907,203.0713947319668,9.7,3.4,No,80,48,1163422.85
5211,Restaurant 5211,Downtown,American,4.9,71,35.23,5464,57185,8,136,279.0774485110546,7.6,6.5,Yes,66,15,577022.15
5212,Restaurant 5212,Suburban,Indian,3.1,66,34.38,3031,37073,17,579,281.8316558135152,9.2,1.5,No,19,22,528246.25
5213,Restaurant 5213,Suburban,Mexican,4.2,55,33.41,3496,41997,5,286,190.8679406826848,2.0,6.9,Yes,34,46,422462.1
5214,Restaurant 5214,Suburban,Mexican,4.1,60,29.39,3077,38593,3,223,129.1811239528621,2.1,5.6,No,29,25,401612.81
5215,Restaurant 5215,Suburban,French,4.0,51,64.19,3826,37868,18,153,119.79748542640182,2.4,8.3,No,33,14,751243.44
5216,Restaurant 5216,Downtown,French,4.7,70,65.74,8380,91025,10,986,141.09927469461974,7.3,9.8,No,5,25,1047409.65
5217,Restaurant 5217,Rural,French,3.4,34,61.68,1071,18384,4,286,95.12842088475271,4.5,8.9,Yes,31,24,476459.38
5218,Restaurant 5218,Rural,Japanese,3.1,37,66.6,1141,18676,10,687,217.458254580024,5.3,7.5,Yes,8,10,561277.9
5219,Restaurant 5219,Rural,French,4.3,33,59.18,3260,41066,18,610,181.95051280157185,3.4,4.9,No,32,12,460611.08
5220,Restaurant 5220,Rural,Indian,3.7,48,30.1,2044,23459,13,151,243.36617506745,7.6,2.9,Yes,2,43,340556.65
5221,Restaurant 5221,Suburban,Indian,3.0,54,36.63,1823,23183,17,997,73.52782922235816,8.6,7.0,No,26,0,464826.41
5222,Restaurant 5222,Suburban,Italian,3.5,54,54.04,2250,26127,14,635,149.97645608504197,2.4,2.8,Yes,31,35,665195.03
5223,Restaurant 5223,Suburban,American,3.6,65,41.93,3112,31227,19,220,109.96571705022282,2.7,1.2,No,55,21,627679.58
5224,Restaurant 5224,Rural,French,4.2,47,63.65,3795,42070,18,187,183.79655156485128,4.1,6.2,Yes,36,35,690988.6
5225,Restaurant 5225,Suburban,Indian,3.3,60,38.8,1458,13493,8,646,167.0609959196533,3.5,4.5,No,8,4,526451.25
5226,Restaurant 5226,Suburban,Indian,3.8,66,39.36,2505,29821,18,727,162.39136279725727,5.8,8.9,Yes,64,18,604189.51
5227,Restaurant 5227,Downtown,Indian,4.0,72,32.93,4684,54415,16,87,128.9134079859856,7.8,6.8,Yes,24,60,555227.11
5228,Restaurant 5228,Downtown,Japanese,3.9,87,74.58,4725,54753,11,992,231.71139361853173,8.1,6.8,Yes,15,85,1458689.89
5229,Restaurant 5229,Suburban,American,4.9,53,42.2,1312,16396,17,440,170.39192606543924,2.9,8.1,No,47,30,519232.6
5230,Restaurant 5230,Downtown,Mexican,3.1,88,28.19,3421,38348,18,810,100.56094495329822,2.6,4.0,Yes,15,20,574233.23
5231,Restaurant 5231,Downtown,Indian,4.9,78,40.86,9119,93865,19,829,186.86186822494832,4.3,9.6,Yes,26,66,747709.39
5232,Restaurant 5232,Suburban,French,4.2,54,65.45,2651,33187,18,869,199.16803900984848,2.3,3.0,Yes,5,52,805766.2
5233,Restaurant 5233,Suburban,Indian,4.6,53,36.32,3567,41644,14,666,55.34491931633311,1.8,8.8,Yes,38,10,451374.3
5234,Restaurant 5234,Suburban,American,3.9,65,44.28,2702,28203,17,466,100.94466521212836,3.2,9.2,Yes,4,11,660585.15
5235,Restaurant 5235,Suburban,Mexican,3.9,59,27.88,2709,26652,8,909,110.6009775318206,4.5,1.4,Yes,57,41,381133.82
5236,Restaurant 5236,Rural,Japanese,4.8,38,69.58,1984,23781,15,73,112.01879054078285,6.3,6.7,No,35,24,608961.03
5237,Restaurant 5237,Rural,Italian,4.8,45,47.02,2846,32295,17,481,109.7114675900077,7.5,7.7,Yes,23,20,496849.71
5238,Restaurant 5238,Suburban,French,3.5,69,60.72,939,16303,11,336,117.91029289172896,3.0,9.6,No,38,64,943929.01
5239,Restaurant 5239,Downtown,Italian,3.4,86,50.46,3434,33491,6,131,115.68180656370691,8.4,3.3,No,37,77,975053.63
5240,Restaurant 5240,Suburban,Japanese,4.0,67,67.34,3936,41514,19,304,271.01720933090144,1.3,6.1,Yes,41,46,1025226.1
5241,Restaurant 5241,Suburban,American,4.8,64,42.4,3118,32248,16,584,129.91196806123878,5.0,8.0,No,23,22,626143.8
5242,Restaurant 5242,Downtown,American,3.6,89,36.3,6135,66668,12,376,137.44067859156124,6.7,2.3,Yes,81,42,741776.1
5243,Restaurant 5243,Rural,Japanese,4.3,38,65.68,1829,21695,15,547,116.5443156457886,3.6,8.7,Yes,4,4,573186.65
5244,Restaurant 5244,Suburban,Indian,4.4,55,34.23,3084,38084,11,633,291.89358988563947,7.2,4.6,No,3,39,438434.21
5245,Restaurant 5245,Suburban,Japanese,4.6,55,69.51,1831,20283,7,679,183.87270005876047,8.8,6.8,No,34,4,859807.98
5246,Restaurant 5246,Rural,French,4.1,40,58.52,3679,44296,10,448,202.63652855187905,1.8,1.4,Yes,21,1,534151.94
5247,Restaurant 5247,Rural,Mexican,3.8,49,27.84,3000,29795,19,599,233.8718155157757,5.6,3.0,Yes,4,37,330380.23
5248,Restaurant 5248,Downtown,Italian,4.9,72,48.73,6592,71147,5,205,133.4285171973433,1.2,5.3,Yes,44,69,795986.48
5249,Restaurant 5249,Rural,Italian,4.2,41,46.8,2037,22780,17,908,292.1951074412047,3.5,3.6,Yes,5,16,447760.5
5250,Restaurant 5250,Rural,American,4.5,44,39.44,2172,22884,19,176,88.08154314358438,2.2,9.6,Yes,12,4,410329.08
5251,Restaurant 5251,Rural,Indian,3.7,36,39.95,1765,25523,4,326,164.45365012358607,6.6,8.2,No,3,13,331580.65
5252,Restaurant 5252,Downtown,American,4.3,87,37.47,2973,29431,1,76,86.35981558810838,3.2,8.8,No,44,59,730858.37
5253,Restaurant 5253,Rural,French,3.5,44,62.53,3118,38483,14,992,247.5939365650958,3.5,5.2,Yes,33,27,633226.03
5254,Restaurant 5254,Rural,Japanese,3.5,37,66.56,1436,19526,17,617,76.82942300548322,2.9,5.3,Yes,8,11,566064.62
5255,Restaurant 5255,Downtown,Italian,4.4,78,48.89,8161,89083,14,686,188.47490085339572,3.2,8.2,No,48,39,877160.06
5256,Restaurant 5256,Rural,French,4.0,44,58.53,2252,30617,6,923,76.20156875016642,3.0,4.5,Yes,19,23,582958.19
5257,Restaurant 5257,Rural,American,4.4,45,45.31,2629,33519,5,959,163.16547204617746,7.3,5.3,Yes,14,17,466772.11
5258,Restaurant 5258,Downtown,American,3.5,89,39.71,3211,37767,3,70,120.0769977181565,9.6,5.8,No,0,74,794471.0
5259,Restaurant 5259,Suburban,Italian,4.2,52,52.6,3576,40834,15,575,275.8241894898316,5.4,6.5,Yes,9,45,631354.9
5260,Restaurant 5260,Downtown,American,3.9,74,41.63,3309,33096,7,290,63.27394876773971,6.4,6.8,Yes,73,67,701282.28
5261,Restaurant 5261,Rural,Indian,4.2,32,31.55,3542,43039,11,156,212.48440745006124,8.4,7.1,Yes,4,29,248670.5
5262,Restaurant 5262,Rural,American,3.6,31,45.33,1275,13338,10,631,223.8128082394474,5.3,5.0,Yes,26,6,328187.33
5263,Restaurant 5263,Rural,Mexican,4.4,31,28.8,1646,18038,14,765,272.2455255953021,3.7,3.7,No,9,17,218872.9
5264,Restaurant 5264,Downtown,Japanese,4.6,73,65.49,8125,88027,3,589,269.4323640777901,9.6,9.3,Yes,12,14,1078908.22
5265,Restaurant 5265,Rural,American,3.5,32,38.3,789,14530,14,930,294.2640716518996,9.2,8.4,Yes,13,9,295819.0
5266,Restaurant 5266,Rural,Mexican,3.6,38,28.69,2102,25639,17,270,113.47733858677634,3.0,1.0,Yes,3,14,263220.86
5267,Restaurant 5267,Downtown,French,4.3,81,56.02,1810,23087,4,982,118.7063440369436,7.3,5.6,Yes,19,65,1014727.81
5268,Restaurant 5268,Suburban,American,4.4,58,41.82,2146,25500,6,663,149.32318201940376,6.8,3.5,Yes,36,40,551345.96
5269,Restaurant 5269,Suburban,Indian,4.4,68,33.81,2991,37745,5,116,184.39424515911844,6.8,6.8,No,49,35,524744.31
5270,Restaurant 5270,Rural,French,4.4,41,61.92,2117,30011,10,685,141.78547965031964,8.5,5.5,Yes,34,6,581502.53
5271,Restaurant 5271,Downtown,American,3.8,85,35.07,4403,49201,7,850,235.0741026362172,7.1,1.2,No,22,28,676496.1
5272,Restaurant 5272,Rural,Italian,3.8,30,55.8,3359,38778,15,291,52.13626297741332,5.7,7.5,Yes,14,24,397885.8
5273,Restaurant 5273,Downtown,Mexican,3.5,79,26.88,5320,52143,18,573,54.41357889454652,8.6,3.5,Yes,14,54,502661.87
